Year,黃金價格,美元指數,日經指數225,美債殖利率,通膨(%),原油(WTI),道瓊工業指數,黃金儲備量($mn),日圓
2012 Q4,-0.066722973,-0.002126657,0.171927,0.075321494,-0.15,-0.00401345,-0.024781334,-0.063661225,0.113321355
2012 Q3,0.111041602,-0.020943049,-0.015168573,-0.006086427,0.176470588,0.08509887,0.043248145,0.114369698,-0.023681243
2012 Q2,-0.038496241,0.03446094,-0.106785699,-0.257904246,-0.37037037,-0.175305766,-0.02512481,-0.037079067,-0.036227509
2012 Q1,0.085891574,-0.015467108,0.192565654,0.180170576,-0.1,0.042396034,0.081397595,0.088297145,0.076013514
2011 Q4,-0.054938272,0.020623742,-0.028153085,-0.021387585,-0.230769231,0.247853535,0.119502849,-0.052862207,-0.00129769
2011 Q3,0.076054467,0.057200536,-0.113670514,-0.39335443,0.083333333,-0.169985328,-0.12090534,0.077499243,-0.043089532
2011 Q2,0.046212648,-0.020564171,0.006252114,-0.089337176,0.333333333,-0.105884558,0.007679551,0.04714249,-0.031625782
2011 Q1,0.023834934,-0.040111325,-0.046321606,0.055352798,0.8,0.167870431,0.064108776,0.028798383,0.024516447
2010 Q4,0.075363428,0.003937983,0.091742757,0.308917197,0.363636364,0.142678504,0.073179119,0.073983479,-0.02755481
2010 Q3,0.050643087,-0.084863942,-0.001416446,-0.144122658,0,0.057384636,0.103747486,0.051161291,-0.055876032
2010 Q2,0.11519498,0.061058308,-0.153950337,-0.234281242,-0.52173913,-0.097063037,-0.099718789,0.115328874,-0.054135017
2010 Q1,0.025747126,0.041227831,0.051533977,-0.001042481,-0.148148148,0.055443548,0.041098767,0.036860627,0.00591907
2009 Q4,0.092141602,0.015786027,0.040777718,0.16096823,-3.076923077,0.123920125,0.073697422,0.095811193,0.035089674
2009 Q3,0.065543071,-0.043429366,0.017551946,-0.06559231,-0.071428571,0.010301903,0.149790458,0.066615674,-0.068099242
2009 Q2,0.019639935,-0.062039131,0.227992251,0.325712144,2.5,0.407370117,0.110144409,0.034426581,-0.025591746
2009 Q1,0.053751078,0.0506703,-0.084657703,0.201801802,-5,0.113452915,-0.133023943,0.052374304,0.091049553
2008 Q4,-0.016676088,0.023410964,-0.213173166,-0.420214155,-0.979591837,-0.556836248,-0.19116533,-0.016718561,-0.145430539
2008 Q3,-0.049180328,0.09646699,-0.164784317,-0.03672956,-0.02,-0.281142857,-0.043995556,-0.05141991,-0.000753935
2008 Q2,-0.003481521,0.009192144,0.076311281,0.161940953,0.25,0.37822406,-0.074442485,-0.00444698,0.062906942
2008 Q1,0.11964018,-0.063885192,-0.181753331,-0.152168525,-0.024390244,0.058345489,-0.075532876,0.124110042,-0.103538075
2007 Q4,0.122139973,-0.013124086,-0.08804583,-0.121680453,0.464285714,0.175361254,-0.045396286,0.118340849,-0.030134123
2007 Q3,0.142198309,-0.051269496,-0.074575099,-0.086134872,0.037037037,0.155348048,0.036320665,0.135853118,-0.067792482
2007 Q2,-0.017000378,-0.01217897,0.049209117,0.081540448,-0.035714286,0.07302262,0.085335934,-0.022060187,0.045674505
2007 Q1,0.047072785,-0.009436228,0.003588797,-0.01106383,0.12,0.078951679,-0.008729735,0.044300408,-0.010334398
2006 Q4,0.054651648,-0.02617192,0.068097632,0.014461472,0.19047619,-0.029566047,0.067135483,0.052391038,0.007107802
2006 Q3,-0.023227384,0.008800751,0.040141424,-0.099514091,-0.511627907,-0.149059922,0.047429557,-0.026684494,0.032680881
2006 Q2,0.054123711,-0.050261917,-0.091120222,0.060168968,0.264705882,0.109560258,0.003681593,0.050703927,-0.027532291
2006 Q1,0.134502924,-0.015794615,0.05885449,0.104209329,0,0.091579292,0.036558899,0.130989474,-0.002373686
2005 Q4,0.083993661,0.018431647,0.186906875,0.014542936,-0.276595745,-0.078502415,0.01407931,0.078228273,0.039295154
2005 Q3,0.082704187,0.00460101,0.17181356,0.104820199,0.88,0.172389381,0.028586945,0.080505175,0.024275787
2005 Q2,0.02245614,0.060076173,-0.007279147,-0.126336898,-0.193548387,0.019855596,-0.021781724,0.017708182,0.034543927
2005 Q1,-0.018595041,0.039703155,0.015684025,0.063003316,-0.060606061,0.275028769,-0.025897222,-0.025881506,0.045281546
2004 Q4,0.047997113,-0.074519264,0.061457541,0.024011642,0.32,-0.124697824,0.069714402,0.042429734,-0.068708534
2004 Q3,0.050151592,-0.016216238,-0.087301741,-0.100370936,-0.242424242,0.339811066,-0.034038683,0.048051551,0.010469281
2004 Q2,-0.065848478,0.013582947,0.012247138,0.194422726,0.941176471,0.036073826,0.007509389,-0.067519547,0.044909318
2004 Q1,0.017897898,0.007938369,0.097291845,-0.097813308,-0.105263158,0.099630996,-0.009204203,0.014920363,-0.03015356
2003 Q4,0.072809278,-0.063866453,0.044778135,0.079441624,-0.173913043,0.11369863,0.127099986,0.068541688,-0.036149982
2003 Q3,0.121387283,-0.01984593,0.12506069,0.120591581,0.095238095,-0.032792315,0.032232144,0.115951853,-0.068982796
2003 Q2,0.033298492,-0.043710833,0.139275102,-0.075223567,-0.3,-0.027384021,0.124286016,0.028963215,0.014573801
2003 Q1,-0.035570276,-0.027393226,-0.070665991,-0.004190676,0.25,-0.005128205,-0.041898286,-0.039524292,-0.004470687
2002 Q4,0.072598085,-0.046973003,-0.085720467,0.060555556,0.6,0.024630542,0.098749593,0.072615741,-0.025723208
2002 Q3,0.016326531,0.007162397,-0.116604091,-0.251403618,0.363636364,0.133655994,-0.178652337,0.013796543,0.017646567
2002 Q2,0.056735236,-0.105462837,-0.036562557,-0.110432852,-0.266666667,0.020904599,-0.111561581,0.050794878,-0.099216513
2002 Q1,0.09005425,0.016017156,0.045749539,0.074965202,-0.0625,0.326108871,0.0381547,0.086277482,0.008049818
2001 Q4,-0.05663596,0.028815623,0.078564209,0.095642702,-0.384615385,-0.153222364,0.132693081,-0.055920588,0.101740295
2001 Q3,0.083148559,-0.049819953,-0.24630717,-0.150629164,-0.1875,-0.107428571,-0.157567794,0.079415511,-0.041001364
2001 Q2,0.050058207,0.017551307,-0.002357747,0.099491353,0.103448276,-0.001521491,0.063127228,0.048941205,-0.013378721
2001 Q1,-0.061031153,0.071285188,-0.057014919,-0.038536776,-0.147058824,-0.019029851,-0.084279833,-0.06523734,0.103713412
2000 Q4,0.002923442,-0.032582799,-0.124565797,-0.119834711,-0.028571429,-0.130998703,0.012869311,0.005588883,0.05854606
2000 Q3,-0.050321013,0.059996296,-0.095559429,-0.036336486,-0.054054054,-0.051076923,0.019432632,-0.0540837,0.018750589
2000 Q2,0.041192412,0.013277636,-0.143886707,0.004165278,-0.026315789,0.208178439,-0.04340171,0.03567068,0.005018939
,,,,,,,,,
